StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
nexus-leaf,Ethernet1/35/1,nexus-root,Ethernet1/66,10000,2000-2031,Trunk
nexus-root,Ethernet1/65,sonic-ucs-m5-4,ens3f0,10000,2000-2095,Trunk
nexus-root,Ethernet1/66,nexus-leaf,Ethernet1/35/1,10000,2000-2031,Trunk
sfd-vt2-lc0,Ethernet0,nexus-leaf,Ethernet1,100000,2000,Access
sfd-vt2-lc0,Ethernet1,nexus-leaf,Ethernet2,100000,2001,Access
sfd-vt2-lc0,Ethernet2,nexus-leaf,Ethernet3,100000,2002,Access
sfd-vt2-lc0,Ethernet3,nexus-leaf,Ethernet4,100000,2003,Access
sfd-vt2-lc0,Ethernet4,nexus-leaf,Ethernet5,100000,2004,Access
sfd-vt2-lc0,Ethernet5,nexus-leaf,Ethernet6,100000,2005,Access
sfd-vt2-lc0,Ethernet6,nexus-leaf,Ethernet7,100000,2006,Access
sfd-vt2-lc0,Ethernet7,nexus-leaf,Ethernet8,100000,2007,Access
sfd-vt2-lc0,Ethernet8,nexus-leaf,Ethernet9,100000,2008,Access
sfd-vt2-lc0,Ethernet9,nexus-leaf,Ethernet10,100000,2009,Access
sfd-vt2-lc0,Ethernet10,nexus-leaf,Ethernet11,100000,2010,Access
sfd-vt2-lc0,Ethernet11,nexus-leaf,Ethernet12,100000,2011,Access
sfd-vt2-lc0,Ethernet12,nexus-leaf,Ethernet13,100000,2012,Access
sfd-vt2-lc0,Ethernet13,nexus-leaf,Ethernet14,100000,2013,Access
sfd-vt2-lc0,Ethernet14,nexus-leaf,Ethernet15,100000,2014,Access
sfd-vt2-lc0,Ethernet15,nexus-leaf,Ethernet16,100000,2015,Access
sfd-vt2-lc0,Ethernet16,nexus-leaf,Ethernet17,100000,2016,Access
sfd-vt2-lc0,Ethernet17,nexus-leaf,Ethernet18,100000,2017,Access
sfd-vt2-lc0,Ethernet18,nexus-leaf,Ethernet19,100000,2018,Access
sfd-vt2-lc0,Ethernet19,nexus-leaf,Ethernet20,100000,2019,Access
sfd-vt2-lc0,Ethernet20,nexus-leaf,Ethernet21,100000,2020,Access
sfd-vt2-lc0,Ethernet21,nexus-leaf,Ethernet22,100000,2021,Access
sfd-vt2-lc0,Ethernet22,nexus-leaf,Ethernet23,100000,2022,Access
sfd-vt2-lc0,Ethernet23,nexus-leaf,Ethernet24,100000,2023,Access
sfd-vt2-lc0,Ethernet24,nexus-leaf,Ethernet25,100000,2024,Access
sfd-vt2-lc0,Ethernet25,nexus-leaf,Ethernet26,100000,2025,Access
sfd-vt2-lc0,Ethernet26,nexus-leaf,Ethernet27,100000,2026,Access
sfd-vt2-lc0,Ethernet27,nexus-leaf,Ethernet28,100000,2027,Access
sfd-vt2-lc0,Ethernet28,nexus-leaf,Ethernet29,100000,2028,Access
sfd-vt2-lc0,Ethernet29,nexus-leaf,Ethernet30,100000,2029,Access
sfd-vt2-lc0,Ethernet30,nexus-leaf,Ethernet31,100000,2030,Access
sfd-vt2-lc0,Ethernet31,nexus-leaf,Ethernet32,100000,2031,Access
sfd-vt2-lc1,Ethernet0,nexus-root,Ethernet1,100000,2032,Access
sfd-vt2-lc1,Ethernet1,nexus-root,Ethernet2,100000,2033,Access
sfd-vt2-lc1,Ethernet2,nexus-root,Ethernet3,100000,2034,Access
sfd-vt2-lc1,Ethernet3,nexus-root,Ethernet4,100000,2035,Access
sfd-vt2-lc1,Ethernet4,nexus-root,Ethernet5,100000,2036,Access
